Game Date,Home Team,Home Team Score,Away Team,Away Team Score,temperature,weather,wind,season,week
9/10/23,Cowboys,40,Giants,0,74 F,Rain,3,2023,1
9/10/17,Ravens,20,Bengals,0,69 F,Clear,3,2017,1
11/14/24,Washington,7,Eagles,0,46 F,Overcast,13,2010,1
9/8/13,Chiefs,28,Jaguars,2,87 F,A Few Clouds,10,2013,1
9/11/22,Buccaneers,19,Cowboys,3,82 F,Clear,6,2022,1
9/5/19,Packers,10,Bears,3,65 F,Clear,7,2019,1
9/10/17,Panthers,23,49ers,3,86 F,Clear,2,2017,1
9/8/24,Vikings,28,Giants,6,64 F,Clear,10,2024,1
9/12/21,Eagles,32,Falcons,6,80 F,Clear,3,2021,1
9/9/18,Washington,24,Cardinals,6,100 F,Clear,3,2018,1
9/7/14,Vikings,34,Rams,6,76 F,Fair,6,2014,1
9/10/23,49ers,30,Steelers,7,69 F,Overcast,3,2023,1
9/10/17,Jaguars,29,Texans,7,80 F,Clear,4,2017,1
9/8/13,Seahawks,12,Panthers,7,87 F,Mostly Cloudy,5,2013,1
9/11/11,Bills,41,Chiefs,7,80 F,A Few Clouds,4,2011,1
9/13/09,Jets,24,Texans,7,82 F,Mostly Cloudy,3,2009,1
9/13/09,Broncos,12,Bengals,7,71 F,Fair,4,2009,1
9/11/22,Ravens,24,Jets,9,74 F,Light Rain,3,2022,1
9/13/15,Panthers,20,Jaguars,9,81 F,Partly Cloudy,1,2015,1
9/8/13,Titans,16,Steelers,9,74 F,Mostly Cloudy,5,2013,1
9/8/24,Steelers,18,Falcons,10,76 F,Partly Cloudy,8,2024,1
9/8/24,Patriots,16,Bengals,10,63 F,Clear,3,2024,1
9/8/22,Bills,31,Rams,10,91 F,Partly Cloudy,7,2022,1
9/8/19,Ravens,59,Dolphins,10,89 F,Humid And Mostly Cloudy,7,2019,1
9/13/15,Dolphins,17,Washington,10,71 F,Partly Cloudy,11,2015,1
9/7/14,Titans,26,Chiefs,10,77 F,Fair,5,2014,1
9/8/13,Dolphins,23,Browns,10,72 F,Partly Cloudy,16,2013,1
9/13/09,Eagles,38,Panthers,10,77 F,Mostly Cloudy,4,2009,1
9/11/16,Dolphins,10,Seahawks,12,64 F,Partly Cloudy,2,2016,1
9/10/23,Rams,30,Seahawks,13,74 F,Clear,9,2023,1
9/12/21,Cardinals,38,Titans,13,82 F,Clear,6,2021,1
9/12/21,Broncos,27,Giants,13,82 F,Clear,12,2021,1
9/13/20,Chargers,16,Bengals,13,83 F,Mostly Cloudy,4,2020,1
9/8/19,Titans,43,Browns,13,69 F,Mostly Cloudy,6,2019,1
9/10/18,Rams,33,Raiders,13,71 F,Clear,5,2018,1
9/11/16,Bills,7,Ravens,13,82 F,Partly Cloudy,7,2016,1
9/13/15,Bengals,33,Raiders,13,75 F,Partly Cloudy,9,2015,1
9/9/12,Patriots,34,Titans,13,77 F,Fair,0,2012,1
9/11/11,Eagles,31,Rams,13,77 F,Partly Cloudy,0,2011,1
9/10/09,Titans,10,Steelers,13,67 F,Mostly Cloudy,10,2009,1
9/14/20,Titans,16,Broncos,14,78 F,Foggy,7,2020,1
9/13/15,Titans,42,Buccaneers,14,81 F,Mostly Cloudy,6,2015,1
